A,B,C,D,Date,E,F,G,GeoID,H,I,J,K,L,M,N,O,P,R,S,SUMLEV,T,U,date,state,county
679,24,32.0,7502.0,Apr_10_2020,713.0,51,8.12,50,4.35,290,74.55,677,33850.0,7,41.18,24,,0.11,0.0,states,108.64,3.84,2020-04-10,Vermont,
1660,38,,7695.0,Apr_10_2020,1660.0,137,9.0,11,18.75,903,119.29,1650,16500.0,23,153.33,38,,0.24,0.01,states,242.51,5.55,2020-04-10,District of Columbia,
4509,121,1238.0,30950.0,Apr_10_2020,4509.0,468,11.58,51,11.01,2498,124.22,4499,44990.0,75,163.04,121,,0.05,0.0,states,53.59,1.44,2020-04-10,Virginia,
19253,755,2054.0,73027.0,Apr_10_2020,19253.0,970,5.31,22,7.55,8954,86.94,19240,148000.0,385,104.05,755,,0.41,0.02,states,412.83,16.19,2020-04-10,Louisiana,
678,18,,8719.0,Apr_10_2020,635.0,84,14.14,31,20.0,381,128.28,655,2847.83,12,200.0,18,,0.04,0.0,states,35.6,0.95,2020-04-10,Nebraska,
1326,32,181.0,10415.0,Apr_10_2020,1326.0,117,9.68,10,39.13,876,194.67,1325,132500.0,18,128.57,32,,0.14,0.0,states,139.65,3.37,2020-04-10,Delaware,
10538,448,1562.0,25750.0,Apr_10_2020,10538.0,754,7.71,09,17.89,5623,114.4,10535,351166.67,316,239.39,448,,0.29,0.01,states,294.23,12.51,2020-04-10,Connecticut,
365,6,29.0,7932.0,Apr_10_2020,365.0,11,3.11,30,0.0,103,39.31,0,,1,20.0,0,,0.04,0.0,states,35.04,0.58,2020-04-10,Montana,
6510,253,842.0,26143.0,Apr_10_2020,6510.0,308,4.97,08,11.45,2328,55.67,6476,19047.06,143,130.0,253,,0.12,0.0,states,117.7,4.57,2020-04-10,Colorado,
2606,86,282.0,20165.0,Apr_10_2020,2584.0,150,6.11,32,4.88,1057,68.24,2599,37128.57,43,100.0,86,,0.09,0.0,states,89.16,2.94,2020-04-10,Nevada,
586,17,,6088.0,Apr_10_2020,586.0,26,4.64,23,6.25,154,35.65,0,,8,88.89,0,,0.04,0.0,states,43.97,1.28,2020-04-10,Maine,
6968,172,,37480.0,Apr_10_2020,6968.0,783,12.66,24,23.74,4210,152.65,6955,53500.0,130,309.52,172,,0.12,0.0,states,116.07,2.87,2020-04-10,Maryland,
21366,594,2897.0,145391.0,Apr_10_2020,19472.0,1175,5.82,06,8.39,8797,69.99,21164,10477.23,312,110.64,590,14750.0,0.05,0.0,states,54.58,1.52,2020-04-10,California,
3799,105,568.0,36941.0,Apr_10_2020,3799.0,260,7.35,29,11.7,1686,79.79,3798,379800.0,69,191.67,105,,0.06,0.0,states,62.38,1.72,2020-04-10,Missouri,
537,5,85.0,14001.0,Apr_10_2020,554.0,13,2.48,54,0.0,295,121.9,0,,3,150.0,0,,0.03,0.0,states,29.36,0.27,2020-04-10,West Virginia,
20974,599,2435.0,81564.0,Apr_10_2020,20878.0,2033,10.73,25,19.09,10572,101.63,20879,21977.89,407,211.98,599,,0.31,0.01,states,307.08,8.77,2020-04-10,Massachusetts,
3068,131,,33225.0,Apr_10_2020,3665.0,183,6.34,55,12.93,1152,60.13,3062,51033.33,81,162.0,131,,0.05,0.0,states,53.09,2.27,2020-04-10,Wisconsin,
1202,24,86.0,15949.0,Apr_10_2020,1171.0,56,4.89,05,14.29,464,62.87,1201,120100.0,12,100.0,24,,0.04,0.0,states,40.19,0.8,2020-04-10,Arkansas,
2469,82,,18632.0,Apr_10_2020,2469.0,209,9.25,28,7.89,1111,81.81,2468,246800.0,53,182.76,82,,0.08,0.0,states,82.61,2.74,2020-04-10,Mississippi,
3112,97,,34622.0,Apr_10_2020,3112.0,94,3.11,04,8.99,1343,75.92,3103,34477.78,56,136.59,97,,0.04,0.0,states,44.8,1.4,2020-04-10,Arizona,
9888,483,642.0,117091.0,Apr_10_2020,11395.0,279,2.9,53,5.92,2921,41.93,9550,2825.44,190,64.85,454,1565.52,0.14,0.01,states,135.56,6.62,2020-04-10,Washington,
17960,418,,145299.0,Apr_10_2020,17531.0,1141,6.78,12,12.97,7700,75.05,17934,68976.92,249,147.34,416,20800.0,0.09,0.0,states,87.19,2.03,2020-04-10,Florida,
885,22,,9139.0,Apr_10_2020,819.0,66,8.06,33,4.76,345,63.89,880,17600.0,15,214.29,22,,0.07,0.0,states,65.87,1.64,2020-04-10,New Hampshire,
2103,17,,38660.0,Apr_10_2020,2102.0,123,6.21,49,30.77,855,68.51,2098,41960.0,10,142.86,17,,0.07,0.0,states,69.06,0.56,2020-04-10,Utah,
1371,48,146.0,24306.0,Apr_10_2020,1321.0,50,3.79,41,9.09,472,52.5,1351,6755.0,26,118.18,48,,0.03,0.0,states,33.59,1.18,2020-04-10,Oregon,
6960,353,,28133.0,Apr_10_2020,6907.0,560,8.75,18,19.66,3505,101.45,6949,63172.73,235,199.15,353,,0.1,0.01,states,104.86,5.32,2020-04-10,Indiana,
17887,607,3680.0,69640.0,Apr_10_2020,17887.0,1465,8.92,17,13.67,8983,100.89,17862,71448.0,395,186.32,607,,0.14,0.0,states,139.51,4.73,2020-04-10,Illinois,
2015,49,169.0,15403.0,Apr_10_2020,2573.0,288,16.68,44,13.95,1304,183.4,2010,40200.0,35,250.0,49,,0.19,0.0,states,190.7,4.64,2020-04-10,Rhode Island,
3065,72,,25118.0,Apr_10_2020,3065.0,273,9.78,45,7.46,1365,80.29,3055,30550.0,38,111.76,72,,0.06,0.0,states,61.85,1.45,2020-04-10,South Carolina,
1794,88,186.0,20370.0,Apr_10_2020,1794.0,111,6.6,40,10.0,805,81.4,1792,89600.0,50,131.58,88,,0.05,0.0,states,45.79,2.25,2020-04-10,Oklahoma,
1425,25,67.0,11741.0,Apr_10_2020,1353.0,59,4.32,16,4.17,413,40.81,0,,15,150.0,0,,0.08,0.0,states,84.43,1.48,2020-04-10,Idaho,
536,6,,7111.0,Apr_10_2020,536.0,89,19.91,46,0.0,349,186.63,528,6600.0,4,200.0,5,500.0,0.06,0.0,states,62.02,0.69,2020-04-10,South Dakota,
463,8,,15707.0,Apr_10_2020,442.0,23,5.23,15,33.33,146,46.06,461,23050.0,5,166.67,8,,0.03,0.0,states,32.56,0.56,2020-04-10,Hawaii,
4793,104,561.0,57937.0,Apr_10_2020,4862.0,337,7.56,47,9.47,1761,58.08,4785,59812.5,66,173.68,104,,0.07,0.0,states,72.06,1.56,2020-04-10,Tennessee,
1388,31,125.0,14565.0,Apr_10_2020,1388.0,118,9.29,19,14.81,689,98.57,1374,9814.29,20,181.82,31,,0.04,0.0,states,44.31,0.99,2020-04-10,Iowa,
5879,231,,52695.0,Apr_10_2020,5878.0,366,6.64,39,8.45,2567,77.51,5875,146875.0,140,153.85,231,,0.05,0.0,states,50.5,1.98,2020-04-10,Ohio,
278,7,13.0,9330.0,Apr_10_2020,278.0,9,3.35,38,40.0,105,60.69,277,27700.0,4,133.33,7,,0.04,0.0,states,36.96,0.93,2020-04-10,North Dakota,
12291,249,1532.0,104047.0,Apr_10_2020,11671.0,919,8.08,48,9.21,6518,112.9,12258,37145.45,151,154.08,249,,0.04,0.0,states,44.08,0.89,2020-04-10,Texas,
1180,50,,10248.0,Apr_10_2020,1166.0,64,5.73,20,19.05,555,88.8,1179,117900.0,31,163.16,50,,0.04,0.0,states,40.57,1.72,2020-04-10,Kansas,
3906,78,423.0,53737.0,Apr_10_2020,3908.0,255,6.98,37,5.41,1813,86.62,3898,48725.0,55,239.13,78,,0.04,0.0,states,38.46,0.77,2020-04-10,North Carolina,
11859,425,,34664.0,Apr_10_2020,11483.0,974,8.95,13,3.16,5892,98.74,11828,38154.84,227,114.65,425,,0.12,0.0,states,115.16,4.13,2020-04-10,Georgia,
1702,90,271.0,22595.0,Apr_10_2020,1693.0,177,11.61,21,7.14,940,123.36,1695,24214.29,56,164.71,90,,0.04,0.0,states,38.33,2.03,2020-04-10,Kentucky,
172830,10162,18569.0,247373.0,Apr_10_2020,170512.0,10794,6.66,36,10.87,69141,66.68,172613,79545.16,6446,173.47,10162,,0.88,0.05,states,880.96,51.8,2020-04-10,New York,
1090,19,73.0,26007.0,Apr_10_2020,1091.0,101,10.21,35,11.76,595,120.2,1086,27150.0,9,90.0,19,,0.05,0.0,states,52.09,0.91,2020-04-10,New Mexico,
54588,1932,7570.0,58935.0,Apr_10_2020,54588.0,3561,6.98,34,13.65,24693,82.6,54565,237239.13,1285,198.61,1931,193100.0,0.61,0.02,states,614.6,21.75,2020-04-10,New Jersey,
22646,1280,3823.0,59597.0,Apr_10_2020,30172.0,1271,5.95,26,18.96,9977,78.75,22644,1132200.0,802,167.78,1280,,0.23,0.01,states,227.43,12.85,2020-04-10,Michigan,
244,5,,7186.0,Apr_10_2020,246.0,11,4.72,02,0.0,88,56.41,0,,3,150.0,0,,0.03,0.0,states,33.04,0.68,2020-04-10,Alaska,
20128,435,2072.0,93040.0,Apr_10_2020,19979.0,1749,9.52,42,26.45,11708,139.05,20112,125700.0,333,326.47,435,,0.16,0.0,states,157.36,3.4,2020-04-10,Pennsylvania,
51,1,3.0,273.0,Apr_10_2020,50.0,1,2.0,78,0.0,13,34.21,0,,1,,0,,,,states,,,2020-04-10,Virgin Islands,
